Cruise	Station	Type	yyyy-mm-ddThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]
GA10	CTD_JC068_000_2DB	C	2011-12-26T07:19:49	19.34720	-34.94820
GA10	CTD_JC068_001_2DB	C	2011-12-28T01:35:38	17.05380	-34.61240
GA10	CTD_JC068_002_2DB	C	2011-12-28T04:04:29	17.05380	-34.61230
GA10	CTD_JC068_003_2DB	C	2011-12-28T16:28:18	14.99620	-35.46840
GA10	CTD_JC068_004_2DB	C	2011-12-28T18:03:12	14.99620	-35.46840
GA10	CTD_JC068_005_2DB	C	2011-12-29T05:38:14	13.10980	-36.34150
GA10	CTD_JC068_006_2DB	C	2011-12-29T09:55:07	13.09690	-36.36050
GA10	CTD_JC068_007_2DB	C	2011-12-29T22:49:00	13.10620	-36.34310
GA10	CTD_JC068_008_2DB	C	2011-12-30T18:19:22	10.40160	-38.40060
GA10	CTD_JC068_009_2DB	C	2012-01-01T06:45:08	5.51770	-39.99970
GA10	CTD_JC068_010_2DB	C	2012-01-03T12:55:19	359.50009	-40.01480
GA10	CTD_JC068_011_2DB	C	2012-01-04T06:38:03	356.96570	-40.00090
GA10	CTD_JC068_012_2DB	C	2012-01-06T11:13:43	350.33359	-39.99930
GA10	CTD_JC068_013_2DB	C	2012-01-06T12:49:59	350.33200	-39.99920
GA10	CTD_JC068_014_2DB	C	2012-01-06T20:43:57	350.33740	-40.00030
GA10	CTD_JC068_015_2DB	C	2012-01-07T03:15:27	350.14691	-40.25730
GA10	CTD_JC068_016_2DB	C	2012-01-07T08:39:46	350.14520	-40.25760
GA10	CTD_JC068_017_2DB	C	2012-01-08T10:46:43	346.99991	-39.99830
GA10	CTD_JC068_018_2DB	C	2012-01-08T12:22:02	347.00119	-40.00000
GA10	CTD_JC068_019_2DB	C	2012-01-08T17:47:45	346.99991	-40.00000
GA10	CTD_JC068_020_2DB	C	2012-01-09T01:14:13	347.00009	-40.00000
GA10	CTD_JC068_021_2DB	C	2012-01-09T20:26:59	343.53391	-40.00070
GA10	CTD_JC068_022_2DB	C	2012-01-10T08:22:37	343.53659	-40.00220
GA10	CTD_JC068_023_2DB	C	2012-01-10T11:37:36	343.53491	-40.00170
GA10	CTD_JC068_024_2DB	C	2012-01-10T21:36:43	343.53329	-40.00000
GA10	CTD_JC068_025_2DB	C	2012-01-11T19:22:54	340.06760	-39.99930
GA10	CTD_JC068_026_2DB	C	2012-01-12T00:17:04	340.06979	-40.00040
GA10	CTD_JC068_027_2DB	C	2012-01-12T05:17:28	340.06970	-40.00040
GA10	CTD_JC068_028_2DB	C	2012-01-12T23:52:36	336.19989	-40.00010
GA10	CTD_JC068_029_2DB	C	2012-01-13T04:47:01	336.20001	-40.00000
GA10	CTD_JC068_030_2DB	C	2012-01-13T08:55:43	336.20001	-40.00000
GA10	CTD_JC068_031_2DB	C	2012-01-14T09:15:54	332.00000	-40.00000
GA10	CTD_JC068_032_2DB	C	2012-01-14T10:45:21	332.00000	-40.00000
GA10	CTD_JC068_033_2DB	C	2012-01-14T15:13:42	332.00000	-40.00000
GA10	CTD_JC068_034_2DB	C	2012-01-15T15:19:23	327.50140	-39.99860
GA10	CTD_JC068_035_2DB	C	2012-01-15T16:57:25	327.50870	-39.98840
GA10	CTD_JC068_036_2DB	C	2012-01-15T22:53:14	327.50729	-39.99410
GA10	CTD_JC068_037_2DB	C	2012-01-16T22:10:11	322.58331	-40.00000
GA10	CTD_JC068_038_2DB	C	2012-01-17T00:11:22	322.58340	-40.00000
GA10	CTD_JC068_039_2DB	C	2012-01-17T06:00:08	322.58340	-40.00000
GA10	CTD_JC068_041_2DB	C	2012-01-17T18:43:24	321.74622	-40.00000
GA10	CTD_JC068_043_2DB	C	2012-01-18T17:51:48	317.58420	-40.00120
GA10	CTD_JC068_044_2DB	C	2012-01-19T00:21:27	317.58331	-40.00000
GA10	CTD_JC068_045_2DB	C	2012-01-19T05:12:28	317.58331	-40.00000
GA10	CTD_JC068_046_2DB	C	2012-01-19T03:13:52	317.58331	-40.00000
GA10	CTD_JC068_047_2DB	C	2012-01-21T00:14:00	312.58331	-39.99390
GA10	CTD_JC068_048_2DB	C	2012-01-21T06:06:44	312.58331	-39.99520
GA10	CTD_JC068_049_2DB	C	2012-01-21T10:47:18	312.58319	-39.98570
GA10	CTD_JC068_050_2DB	C	2012-01-22T08:35:17	308.97061	-37.98280
GA10	CTD_JC068_051_2DB	C	2012-01-22T11:10:59	309.00479	-38.01230
GA10	CTD_JC068_052_2DB	C	2012-01-22T16:36:58	309.00659	-38.01330
GA10	CTD_JC068_053_2DB	C	2012-01-22T20:58:39	309.02240	-38.04640
GA10	CTD_JC068_054_2DB	C	2012-01-23T01:53:03	309.01880	-38.08640
GA10	CTD_JC068_055_2DB	C	2012-01-23T03:30:34	309.02341	-38.10920
GA10	CTD_JC068_056_2DB	C	2012-01-24T09:39:58	307.49750	-37.02560
GA10	CTD_JC068_058_2DB	C	2012-01-24T15:38:17	307.51120	-37.02620
GA10	CTD_JC068_059_2DB	C	2012-01-25T01:07:30	307.50061	-37.01320
GA10	CTD_JC068_060_2DB	C	2012-01-25T02:40:12	307.50079	-37.00920
GA10	CTD_JC068_061_2DB	C	2012-01-25T11:44:29	306.89819	-36.53850
GA10	CTD_JC068_062_2DB	C	2012-01-25T15:30:31	306.89880	-36.53290
GA10	CTD_JC068_063_2DB	C	2012-01-26T07:16:42	306.00000	-36.00000
GA10	CTD_JC068_064_2DB	C	2012-01-26T08:17:08	306.00000	-36.00000
