Cruise	Station	Type	yyyy-mm-ddThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	CTDPRS [dbar]	QV:IODE	CTDTMP [deg C]	QV:IODE	CTDSAL [pss-78]	QV:IODE	CTDOXY [umol/kg]	QV:IODE	Fluorescence Chl-a [mg/m~^3]	QV:IODE	Fluorescence Raw Data [arbitrary units]	QV:IODE	Transmissometer Beam Attenuation [1/m]	QV:IODE	Transmissometer Raw Data [arbitrary units]	QV:IODE	Turbidity Raw Data [arbitrary units]	QV:IODE	PAR Raw Data [arbitrary units]	QV:IODE	QV:ODV:SAMPLE
GA10	CTD_JC068_003_2DB	C	2011-12-28T16:28:18	14.99620	-35.46840	3.000	2	21.25800	2	35.433998	2	211.600	2	0.06000	2		9	0.099260	2		9		9	0.04500	2	1
GA10	CTD_JC068_003_2DB	C	2011-12-28T16:28:18	14.99620	-35.46840	5.000	2	21.25100	2	35.433998	2	211.600	2	0.06000	2		9	0.097870	2		9		9	0.04100	2	1
GA10	CTD_JC068_003_2DB	C	2011-12-28T16:28:18	14.99620	-35.46840	7.000	2	21.24700	2	35.433998	2	211.600	2	0.06000	2		9	0.098150	2		9		9	0.04100	2	1
GA10	CTD_JC068_003_2DB	C	2011-12-28T16:28:18	14.99620	-35.46840	9.000	2	21.25000	2	35.433998	2	211.800	2	0.06000	2		9	0.095650	2		9		9	0.04300	2	1
GA10	CTD_JC068_003_2DB	C	2011-12-28T16:28:18	14.99620	-35.46840	11.000	2	21.22800	2	35.432999	2	211.800	2	0.06000	2		9	0.097500	2		9		9	0.05300	2	1
GA10	CTD_JC068_003_2DB	C	2011-12-28T16:28:18	14.99620	-35.46840	13.000	2	21.14700	2	35.431999	2	212.000	2	0.06000	2		9	0.098520	2		9		9	0.04300	2	1
GA10	CTD_JC068_003_2DB	C	2011-12-28T16:28:18	14.99620	-35.46840	15.000	2	21.07300	2	35.430000	2	212.000	2	0.06000	2		9	0.100700	2		9		9	0.02900	2	1
GA10	CTD_JC068_003_2DB	C	2011-12-28T16:28:18	14.99620	-35.46840	17.000	2	21.06700	2	35.430000	2	212.100	2	0.07000	2		9	0.100940	2		9		9	0.02300	2	1
GA10	CTD_JC068_003_2DB	C	2011-12-28T16:28:18	14.99620	-35.46840	19.000	2	20.94100	2	35.429001	2	212.400	2	0.07000	2		9	0.105420	2		9		9	0.02000	2	1
GA10	CTD_JC068_003_2DB	C	2011-12-28T16:28:18	14.99620	-35.46840	21.000	2	20.89500	2	35.431000	2	212.600	2	0.07000	2		9	0.106900	2		9		9	0.02000	2	1
GA10	CTD_JC068_003_2DB	C	2011-12-28T16:28:18	14.99620	-35.46840	23.000	2	20.78300	2	35.431000	2	213.000	2	0.07000	2		9	0.096350	2		9		9	0.02200	2	1
GA10	CTD_JC068_003_2DB	C	2011-12-28T16:28:18	14.99620	-35.46840	25.000	2	20.65000	2	35.429001	2	212.800	2	0.08000	2		9	0.075550	2		9		9	0.02000	2	1
GA10	CTD_JC068_003_2DB	C	2011-12-28T16:28:18	14.99620	-35.46840	27.000	2	20.72200	2	35.431000	2	212.600	2	0.08000	2		9	0.087960	2		9		9	0.01700	2	1
GA10	CTD_JC068_003_2DB	C	2011-12-28T16:28:18	14.99620	-35.46840	29.000	2	20.61700	2	35.429001	2	212.700	2	0.09000	2		9	0.092620	2		9		9	0.01300	2	1
GA10	CTD_JC068_003_2DB	C	2011-12-28T16:28:18	14.99620	-35.46840	31.000	2	20.62500	2	35.430000	2	212.900	2	0.09000	2		9	0.111210	2		9		9	0.01000	2	1
GA10	CTD_JC068_003_2DB	C	2011-12-28T16:28:18	14.99620	-35.46840	33.000	2	20.59600	2	35.432999	2	213.500	2	0.12000	2		9	0.169250	2		9		9	0.00700	2	1
